iter	Passed	Remaining
0	380	304252
1	628	250767
2	912	242356
3	1128	224591
4	1327	211098
5	1536	203387
6	1738	196949
7	1952	193302
8	2148	188838
9	2362	186652
10	2574	184635
11	2786	182983
12	2985	180708
13	3172	178090
14	3385	177155
15	3595	176195
16	3807	175377
17	4002	173890
18	4224	173646
19	4431	172832
20	4634	171901
21	4837	171066
22	5037	170178
23	5239	169423
24	5433	168447
25	5633	167707
26	5837	167115
27	6013	165795
28	6230	165638
29	6465	165952
30	6673	165543
31	6876	165040
32	7068	164291
33	7255	163467
34	7454	162926
35	7675	162898
36	7867	162237
37	8074	161915
38	8297	161912
39	8488	161287
40	8703	161129
41	8870	160089
42	9073	159743
43	9251	158955
44	9466	158825
45	9672	158549
46	9873	158188
47	10067	157718
48	10247	157052
49	10419	156296
50	10596	155617
51	10808	155482
52	11015	155250
53	11269	155680
54	11474	155431
55	11697	155406
56	11872	154753
57	12075	154485
58	12305	154544
59	12486	153998
60	12669	153483
61	12932	153934
62	13120	153483
63	13301	152968
64	13515	152832
65	13709	152462
66	13895	152017
67	14120	152003
68	14316	151674
69	14559	151834
70	14995	153966
71	15367	155378
72	15623	155595
73	15890	155898
74	16181	156421
75	16424	156468
76	16657	156408
77	16861	156079
78	17066	155760
79	17421	156797
80	17704	157158
81	17927	156978
82	18245	157611
83	18489	157600
84	19121	160846
85	19909	165291
86	20667	169374
87	21155	171167
88	21528	171987
89	21757	171643
90	22037	171698
91	22236	171122
92	22509	171121
93	22840	171548
94	23131	171663
95	23367	171360
96	23651	171413
97	24004	171949
98	24312	172152
99	24948	174636
100	25371	175590
101	25792	176502
102	26005	175978
103	26231	175550
104	26455	175110
105	26742	175087
106	26969	174672
107	27205	174317
108	27422	173841
109	27602	173140
110	27791	172509
111	27987	171921
112	28225	171603
113	28473	171339
114	28742	171207
115	29016	171099
116	29311	171107
117	29537	170717
118	29740	170193
119	30044	170253
120	30333	170216
121	30552	169794
122	30763	169321
123	30986	168923
124	31163	168283
125	31343	167660
126	31569	167294
127	31799	166948
128	32073	166832
129	32280	166370
130	32486	165902
131	32701	165490
132	32906	165027
133	33118	164605
134	33322	164143
135	33551	163810
136	33760	163383
137	34031	163252
138	34244	162846
139	34449	162403
140	34649	161944
141	34879	161624
142	35064	161098
143	35259	160624
144	35485	160296
145	35722	160016
146	35936	159638
147	36114	159100
148	36401	159044
149	36623	158701
150	36869	158466
151	37068	158030
152	37273	157622
153	37505	157329
154	37733	157018
155	37959	156703
156	38281	156783
157	38534	156575
158	38778	156334
159	38983	155932
160	39168	155455
161	39425	155266
162	39669	155027
163	39859	154576
164	40096	154309
165	40390	154263
166	40632	154012
167	40869	153748
168	41082	153391
169	41297	153044
170	41502	152660
171	41724	152344
172	41976	152134
173	42253	152015
174	42496	151774
175	42668	151280
176	42871	150899
