date,tournament,status,home_team,away_team,home_score,away_score,odds_1,odds_x,odds_2
23 Nov 2025 - Relegation,Superettan 2025,After Pen.,Orebro,Hammarby TFF,3,1,2.00,3.76,3.61
23 Nov 2025 - Relegation,Superettan 2025,,,,-1,-1,,,
23 Nov 2025 - Relegation,Superettan 2025,Finished,Utsikten,Norrby,1,1,2.15,3.80,3.10
21 Nov 2025 - Relegation,Superettan 2025,Finished,Hammarby TFF,Orebro,1,0,2.71,3.55,2.53
21 Nov 2025 - Relegation,Superettan 2025,Finished,Norrby,Utsikten,3,2,2.38,3.91,3.84
08 Nov 2025,Superettan 2025,Finished,Brage,Landskrona,4,1,2.07,4.00,3.49
08 Nov 2025,Superettan 2025,Finished,Kalmar,Falkenberg,1,2,1.39,5.25,8.84
08 Nov 2025,Superettan 2025,Finished,Oddevold,Helsingborg,1,4,2.55,3.63,2.85
08 Nov 2025,Superettan 2025,Finished,Trelleborg,Orebro,1,1,2.44,3.75,2.88
08 Nov 2025,Superettan 2025,Finished,Sundsvall,Orgryte,1,1,3.60,3.98,2.00
08 Nov 2025,Superettan 2025,Finished,Sandviken,Ostersund,5,0,2.02,3.96,3.45
08 Nov 2025,Superettan 2025,Finished,Utsikten,Umea FC,1,4,2.63,4.11,2.54
08 Nov 2025,Superettan 2025,Finished,Vasteras SK,Varberg,4,1,1.62,4.84,6.87
04 Nov 2025,Superettan 2025,Finished,Landskrona,Oddevold,2,2,2.35,3.69,3.03
02 Nov 2025,Superettan 2025,Finished,Orebro,Utsikten,2,1,1.75,4.21,4.50
01 Nov 2025,Superettan 2025,Finished,Varberg,Brage,1,2,2.15,3.71,3.27
01 Nov 2025,Superettan 2025,Finished,Helsingborg,Sundsvall,1,1,1.80,3.92,4.57
01 Nov 2025,Superettan 2025,Finished,Ostersund,Trelleborg,2,0,2.20,3.48,3.44
01 Nov 2025,Superettan 2025,Finished,Umea FC,Sandviken,1,2,2.72,3.73,2.50
01 Nov 2025,Superettan 2025,Finished,Falkenberg,Vasteras SK,0,1,5.10,4.51,1.66
01 Nov 2025,Superettan 2025,Finished,Orgryte,Kalmar,0,2,2.80,3.65,2.47
26 Oct 2025,Superettan 2025,Finished,Orebro,Landskrona,1,2,2.04,4.04,4.00
26 Oct 2025,Superettan 2025,Finished,Trelleborg,Falkenberg,1,1,2.42,3.65,3.07
25 Oct 2025,Superettan 2025,Finished,Brage,Helsingborg,3,2,2.54,3.70,3.38
25 Oct 2025,Superettan 2025,Finished,Sundsvall,Kalmar,0,2,9.01,4.54,1.50
25 Oct 2025,Superettan 2025,Finished,Oddevold,Ostersund,0,0,2.14,3.60,3.56
25 Oct 2025,Superettan 2025,Finished,Sandviken,Utsikten,3,1,2.13,3.70,3.78
25 Oct 2025,Superettan 2025,Finished,Umea FC,Varberg,2,2,3.06,4.01,2.25
24 Oct 2025,Superettan 2025,Finished,Orgryte,Vasteras SK,0,2,2.75,3.77,2.50
19 Oct 2025,Superettan 2025,Finished,Helsingborg,Orebro,3,2,2.29,3.80,3.00
19 Oct 2025,Superettan 2025,Finished,Landskrona,Umea FC,1,3,1.66,4.11,5.40
19 Oct 2025,Superettan 2025,Finished,Utsikten,Trelleborg,3,1,2.90,3.65,2.79
18 Oct 2025,Superettan 2025,Finished,Falkenberg,Orgryte,3,0,3.50,4.17,2.03
18 Oct 2025,Superettan 2025,Finished,Ostersund,Brage,1,0,2.21,3.70,3.36
18 Oct 2025,Superettan 2025,Finished,Kalmar,Oddevold,3,2,1.48,4.75,7.87
18 Oct 2025,Superettan 2025,Finished,Varberg,Sandviken,0,0,1.92,4.04,4.30
18 Oct 2025,Superettan 2025,Finished,Vasteras SK,Sundsvall,2,1,1.33,6.00,12.04
06 Oct 2025,Superettan 2025,Finished,Landskrona,Varberg,2,1,2.82,3.55,2.66
06 Oct 2025,Superettan 2025,Finished,Sandviken,Orgryte,1,1,4.60,4.17,1.75
05 Oct 2025,Superettan 2025,Finished,Orebro,Falkenberg,4,1,2.38,3.75,2.96
05 Oct 2025,Superettan 2025,Finished,Trelleborg,Sundsvall,2,1,2.25,3.65,3.54
05 Oct 2025,Superettan 2025,Finished,Oddevold,Utsikten,1,0,1.89,3.70,4.31
04 Oct 2025,Superettan 2025,Finished,Brage,Kalmar,1,3,5.60,4.30,1.60
04 Oct 2025,Superettan 2025,Finished,Umea FC,Helsingborg,1,0,3.40,3.67,2.29
04 Oct 2025,Superettan 2025,Finished,Ostersund,Vasteras SK,1,6,3.80,3.71,2.11
30 Sep 2025,Superettan 2025,Finished,Kalmar,Orebro,2,1,1.43,4.85,7.06
30 Sep 2025,Superettan 2025,Finished,Orgryte,Landskrona,2,0,1.50,4.91,6.26
29 Sep 2025,Superettan 2025,Finished,Helsingborg,Trelleborg,4,1,2.00,3.50,3.95
29 Sep 2025,Superettan 2025,Finished,Sundsvall,Umea FC,3,1,2.06,3.70,4.00
29 Sep 2025,Superettan 2025,Finished,Utsikten,Brage,2,1,2.67,3.57,2.75
28 Sep 2025,Superettan 2025,Finished,Falkenberg,Ostersund,4,0,2.09,3.62,3.90
28 Sep 2025,Superettan 2025,Finished,Vasteras SK,Sandviken,3,0,1.38,5.43,9.00
28 Sep 2025,Superettan 2025,Finished,Varberg,Oddevold,1,1,2.23,3.70,3.49
25 Sep 2025,Superettan 2025,Finished,Sandviken,Helsingborg,0,1,3.16,3.35,2.47
25 Sep 2025,Superettan 2025,Finished,Trelleborg,Orgryte,0,2,4.20,4.09,1.92
25 Sep 2025,Superettan 2025,Finished,Ostersund,Utsikten,2,1,1.86,3.87,4.20
25 Sep 2025,Superettan 2025,Finished,Umea FC,Vasteras SK,1,2,7.77,5.11,1.38
24 Sep 2025,Superettan 2025,Finished,Brage,Sundsvall,0,1,2.21,3.59,3.36
